VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,source_month,source_file
2,2025-07-22 11:05:19,2025-07-22 11:15:20,N,1.0,95,121,1.0,2.83,14.2,0.0,0.5,0.0,0.0,,1.0,15.7,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-28 16:15:26,2025-07-28 16:30:42,N,1.0,43,163,1.0,2.14,15.6,2.5,0.5,3.46,0.0,,1.0,26.56,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-29 10:07:09,2025-07-29 10:19:04,N,1.0,75,142,1.0,2.36,14.9,0.0,0.5,1.5,0.0,,1.0,20.65,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-15 19:20:14,2025-07-15 19:35:05,N,1.0,260,260,1.0,0.94,13.5,2.5,0.5,0.0,0.0,,1.0,17.5,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-20 14:51:07,2025-07-20 14:59:02,N,1.0,134,130,1.0,1.8,10.7,0.0,0.5,1.0,0.0,,1.0,13.2,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-07 12:50:24,2025-07-07 13:15:12,N,1.0,74,239,1.0,3.66,24.0,0.0,0.5,0.0,0.0,,1.0,28.25,2.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-22 11:26:29,2025-07-22 11:52:55,N,1.0,74,140,1.0,3.57,24.0,0.0,0.5,5.65,0.0,,1.0,33.9,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-29 07:35:40,2025-07-29 07:45:22,N,1.0,166,75,1.0,2.4,13.5,0.0,1.5,3.0,0.0,,1.0,18.0,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-17 08:33:17,2025-07-17 08:44:50,N,1.0,74,263,1.0,1.76,12.1,0.0,0.5,1.64,0.0,,1.0,17.99,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-01 13:50:37,2025-07-01 14:00:33,,,19,131,,1.32,2.9,0.0,0.5,0.0,0.0,,0.3,16.0,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-31 07:41:09,2025-07-31 07:49:38,N,1.0,74,41,1.0,0.61,8.6,0.0,0.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-03 12:40:51,2025-07-03 14:17:37,,,205,169,,18.74,2.9,0.0,0.5,0.0,6.94,,0.3,65.53,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-09 09:43:58,2025-07-09 10:33:08,N,1.0,193,231,1.0,8.62,50.6,0.0,0.5,0.0,0.0,,1.0,55.6,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-02 17:54:35,2025-07-02 18:15:43,N,1.0,43,162,1.0,2.84,19.8,2.5,0.5,4.1,0.0,,1.0,31.4,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-14 08:52:29,2025-07-14 09:10:38,N,1.0,75,48,1.0,3.95,20.5,0.0,0.5,5.1,0.0,,1.0,30.6,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
