VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,source_month,source_file
2,2025-09-26 23:00:59,2025-09-26 23:21:21,,6.39,,,75,90,0,26.36,0.0,0.5,0.0,0.0,1.0,31.11,,,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-07 18:38:30,2025-09-07 18:51:22,,5.49,,,239,244,0,17.77,0.0,0.5,0.0,0.0,1.0,21.77,,,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-23 21:20:57,2025-09-23 21:44:45,1.0,5.05,1.0,N,88,164,1,26.8,1.0,0.5,6.51,0.0,1.0,39.06,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-25 19:52:18,2025-09-25 20:30:50,1.0,17.22,2.0,N,132,224,1,70.0,5.0,0.5,17.34,6.94,1.0,105.78,2.5,1.75,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-20 12:40:16,2025-09-20 13:03:44,,6.13,,,231,265,0,32.93,0.0,0.0,0.0,16.06,1.0,50.74,,,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-04 15:36:23,2025-09-04 15:42:35,1.0,0.98,1.0,N,48,246,2,7.9,0.0,0.5,0.0,0.0,1.0,12.65,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-05 16:53:34,2025-09-05 17:38:14,1.0,4.79,1.0,N,234,33,1,39.4,2.5,0.5,9.33,0.0,1.0,55.98,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-11 19:01:10,2025-09-11 19:30:21,,0.0,,,75,182,0,31.97,0.0,0.5,0.0,0.0,1.0,33.47,,,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-08 22:48:47,2025-09-08 22:58:11,1.0,1.38,1.0,N,48,65,1,10.7,1.0,0.5,3.29,0.0,1.0,19.74,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-12 10:33:58,2025-09-12 10:34:10,1.0,0.0,5.0,N,231,231,1,11.0,0.75,0.0,2.55,0.0,1.0,15.3,0.0,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-15 23:59:57,2025-09-16 00:12:02,1.0,2.55,1.0,N,230,114,2,14.2,1.0,0.5,0.0,0.0,1.0,19.95,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-19 07:56:31,2025-09-19 08:04:18,1.0,0.64,1.0,N,162,161,1,8.6,0.0,0.5,5.0,0.0,1.0,18.35,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-03 18:12:10,2025-09-03 18:36:01,1.0,0.9,1.0,N,229,163,1,19.8,2.5,0.5,5.41,0.0,1.0,32.46,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-23 15:19:26,2025-09-23 15:58:46,2.0,12.07,2.0,N,226,132,1,70.0,0.0,0.5,7.15,0.0,1.0,78.65,0.0,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-14 17:40:25,2025-09-14 18:17:00,1.0,10.55,1.0,N,113,244,1,46.4,0.0,0.5,10.0,0.0,1.0,61.15,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-10 17:33:41,2025-09-10 17:46:34,4.0,1.25,1.0,N,234,68,1,12.1,2.5,0.5,3.48,0.0,1.0,22.83,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-08 18:02:37,2025-09-08 18:15:54,1.0,1.74,1.0,N,100,229,1,12.8,2.5,0.5,2.0,0.0,1.0,22.05,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-23 09:13:40,2025-09-23 09:15:56,1.0,0.0,1.0,N,238,143,1,4.4,0.0,0.5,1.68,0.0,1.0,10.08,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-09 23:05:32,2025-09-09 23:13:39,1.0,1.23,1.0,N,45,79,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-06 10:49:16,2025-09-06 11:06:33,,2.43,,,231,158,0,16.08,0.0,0.5,0.0,0.0,1.0,20.83,,,0.75,9,yellow_tripdata_2025-09.parquet
